text,star
"어디서 웃어야할지,  이게 웃으라고 넣은 내용인지 이상한것들이 많았다. 보던중 뛰쳐나올꺼 꾹 참고봤다 그만큼 불편했다",0
"어제 시사회로 봤는데 영화 끝나고 관람객 다 같이 한숨 쉬고. 뜬금없이 강동원,한효주 연애물 찍을때부터 망한느낌이 들었구요. 시사회로 봤는데도 돈이 아까웠어요.. 영화가 재미없는걸 떠나서 무슨내용인지를 하나도 모르겠...",0
영화관에 나혼자 있는게 제일 무서웠다,1
왜 여전히 이런 영화가 만들어지는지 이해할 수 없었다.,0
윤경호라는 배우의 대발견.. 큰 배우들사에서도 전혀 꿀리는거없이 존재감 제대로 사네,1
57세 키티는 최고!! 간만에 배아프게 웃으며 봤습니다 ^^,1
정말 지루하고 말도안되는 스토리,0
지금 봐라 코로나 때문에 극장에서 혼자 봄,1
이뭔씹;;네다씹:;,0
제작비 수십억씩 때려박은 영화들 뺨때리네. 혼자 기대없이 보러갔다가 시간 아깝지않게 봤습니다.,1
스포일러가 포함된 감상평입니다. 감상평 보기,1
아 미션 시간만 맞았어도 피할 수 있었는데 ㅠ,0
누구든 남들에겐 보이기 싫은 비밀이 있고 그게 드러날까 조마조마하는 마음. 영화 보는 내내 나도 불편한 마음을 느꼈다. 극화시킨 느낌은 있지만 볼만했고 인간관계나 사람의 본심에 대해 생각하게 하는 영화.,1
"'재미있으면 공감,재미없으면 비공감'이런거 안따지고   강추!  유해진너무웃김ㅋㅋㅋㅋ",1
아 팝콘 너무 맛있다. 팝콘에 집중이 되네,0
음향감독님 칭찬은 없네요ㅠㅠ 이서진 벨소리 울릴때마다 심장 쫄렸는데,1
내 웃음 포인트가 남들과 다른가? 코미디 영화를 보고 싶었는데 오히려 이 영화 보고 나니 기분이 다운됨. 중간 중간 웃기는부분은 있지만 전체적으로 심각한 상황이라 웃음이 안 나옴.,0
잼있다 2,1
김지운 감독은 이 영화로  20년 동안 쌓아온 공든 탑이 와르르,0
진짜 재미없다; 아무리 봐줘도 6점이상은 알바라고 본다;,0
동성애를 실컷 웃음코드로 쓰고 마지막엔 억지훈계식 결말. 그게 두번 죽이는거다. 당연하단듯 불륜을 숨겨주는 남자들의 의리 또한 웃음코드여서 불쾌했다.,0
보통 개봉하고 한 일주일은 알바들 평점으로 버티는데 하루만에 반토막나네 ㅋㅋㅋ시사회 보고온 친구가 절대 보지 말라고 홍보하고 다니던데 ㅋㅋㅋㅋ,0
귀신 괴물 이딴것들 안나오는데도 무섭다,1
"게임을 한 후, 하기전 어떤것이 최선의 선택인지 아직도 모르겠다",1
아들.. 엄마는 아들 믿어...,0
별 10개줘도 아깝지 않음 이서진 오랜만에 영화 굳이엇음,1
흐오잇! 쿰척 쿰척 쿰척,0
갑자기  아이폰 사파리 검색기록을 지워야겠다는 생각이 문득 들었다.,1
난생처음 영화보다가 튀쳐나온 영화 골든슬럼버도 버텼는데 못버티겠더라구요...,0
비주얼로는 깔 수가 없다 배우들 좋아하시고 눈호강 하시려면 보세요,1
본 영화 중 가장 불쾌한 영화. 이런 영화가 평점이 높다는게 신기하고 충격적이다,0
스포일러가 포함된 감상평입니다. 감상평 보기,1
인간관계의 모든것...진짜 너무 적나라하다ㅜ,1
와..진짜 알바많네 원작응 말아먹은 수준이 아니라 모욕하는 수준의 영환데 사람들이 속을거같냐jQuery22408587704968788344_1532491616033 그리고 통일통일 외치는 것들이 시위 폭력 써대지 영...,0
야 이거 그만보고 자리에서 인랑,0
남자들의 우정이란게 이런건지 수준낮은 영화,0
아이언맨도 저거보단 빨리 죽겠다 ㅋㅋㅋ 한쪽은 무적슈트 입었는데 양복입은 애들이 떼거지로 몰려들면 잘도 죽이겠네겨우 두 번 만나놓고 10년지기 연인처럼 애틋한 로맨스 끼워넣기는 덤,0
환공포증 걸릴뻔했네....,1
마이너스 점수는 왜 존재하지 않는가?,0
비주얼로는 깔 수가 없다 배우들 좋아하시고 눈호강 하시려면 보세요,1
귀신나오고 말도안되는거 싫어하는데 이건 스토킹과 현대과학이 섞여 현실감있었다.. 결론도 사이다에 스토리전개도 빠르고 자극적이고 이시국에 영화관간게 안아까웠다,1
염정아 연기 진짜 미쳤다ㅠㅠ...개인적으로 연기 정말 잘한다고 생각하는 배우 연기 스펙트럼 정말 넓다,1
개그적인 요소때매 웃긴 부분은 많음. 하지만 내용이 불쾌해요. 먼저 평점남기신 분 말마따나 남자들의 더러운 뒷얘기를 듣는기분.,0
무섭게 재밌다 추천 아니다 비추천,1
와..진짜 알바많네 원작응 말아먹은 수준이 아니라 모욕하는 수준의 영환데 사람들이 속을거같냐jQuery22408587704968788344_1532491616033 그리고 통일통일 외치는 것들이 시위 폭력 써대지 영...,0
골든슬럼버에 이어서  강동원-한효주 조합은 망작 진리인게 판명됐다,0
감동적이지만 오버되는 러닝타임.극장판을 통한 サえカノ의 확실한 끝맺음.,1
왜이렇게 욕먹는지 모르겠네 난 액션씬 짜릿해서 좋았고 원작이랑 연결되는 빨간망토 인상깊었음,1
올해  최고의 블랙코미디. 유해진의 연기는 믿고 봅니다.,1
와~여주인공 연기 대박. 올해 본 최고의 스릴러 영화!,1
!!ㅠㅠㅠ!!!입니다,1
저게우리였으면  아무한테도연락안와서 밥만먹고끝났을듯 ㅜ ㅜ,1
"업그레이드 감독이라 스프라이즈, 음향효과에도 스프라이즈",1
갑자기  아이폰 사파리 검색기록을 지워야겠다는 생각이 문득 들었다.,1
재밌게 무섭..딱 맛있게 매운 느낌 여주 연기 진짜 미쳤나는 재밌었는데 부모님은 그저 그렇다하심,1
여자친구랑 보지마세요,0
영화보다보니 너무조용해 주위를둘러보니 다들딥슬립 저또한 너무졸렸습니다 액션하다 멜로부분에서 다들주무시네요 그만큼 지루했습니다 뭘주고자하는지모르겠는내용;; 배우들은 너무멋지고 연기도좋은데 내용..노답,0
분명 댓글알바 있다고 본다 ㅋㅋㅋ 봐라 영화  내만 죽을수없다 ㅋㅋㅋ,0
그냥 딱 뜨레기다 이거 재밌다하면 리얼 재밌게 본 사람인듯 딱 리얼급,0
액션’만’ 좋았다. 원작 대사를 그대로 가지고 온건지 너무나도 오그라드는 부분이 많았고. 빨간두건 이야기를 들려주는 부분은 너무나도 아마추어 같았다. 이 부분만 좀더 잘 표현했다면 이해안되는 멜로도 좀더 나아지지 않...,0
아이언맨도 저거보단 빨리 죽겠다 ㅋㅋㅋ 한쪽은 무적슈트 입었는데 양복입은 애들이 떼거지로 몰려들면 잘도 죽이겠네겨우 두 번 만나놓고 10년지기 연인처럼 애틋한 로맨스 끼워넣기는 덤,0
아저씨들이 좋아할 것 같은 영화..,0
"미장센과 아름다룬 색감, 그리고 스타일리쉬한 액션신까지. 김지운 감독에게 원한 모든 것을 대부분 만족시켜준 영화. 8점이 적당해보이는 데 별점 테러 감안해 1점 올려봄.",1
"침묵하는 평론가들 , 긴장하는 영화 관계자들",0
꿀잼 허니잼 !!조진웅씨랑 결혼하고싶은생각이 드는영화 ㅠ 강추,1
"게임을 한 후, 하기전 어떤것이 최선의 선택인지 아직도 모르겠다",1
리얼  하고 삐까 친다. 레알,0
우욱 ㄴㄷㅆ,0
왜난재미없지? 내가이상한가,0
★꼭 보세요 아까봤는데 긴장의 끈을 놓을수 없어요★,1
처음부터 끝까지 긴장하게하는 영화.그런데 첫장면에서 잘 때 파도소리 무엇 방음실화?;,1
야 이거 그만보고 자리에서 인랑,0
별로 기대안했는데 진짜 재밌었어요 처음부터 끝까지 계속 긴장감있고 흥미진진해요 보면서 계속 이 사람이 말하는게 근데 사실인가 아님 저게 사실인가 의심이 드는 영화이기도 하고요 추천합니다!,1
"웃긴장면이 있는거지, 웃기거나 재밌는 영화는 아닌듯",0
시리즈의 확실한 완결....을 보고 싶다면 15분짜리 쿠키영상을 보시길 ㅎㅎㅎㅎ,1
와 소름 끼칩니다....,1
평점 남긴거 남자 100%가 개레전드네,1
아주 좋읍니다 아주 재미 있었 읍니다,1
강동원 요즘따라 고르는 작품마다 왜그러냐....한효주랑 되도록이면 안엮이는게 좋을듯,0
코로나때문에 극장에 사람이 없엉ㅋ 세세한 얼굴표정의 묘사라던가 감정 변할때 얼굴표정도 같이 변하는거 보는게 정말 재미있었음. 특히 카토 메구미는 티비판에서도 그랬지만 딴 캐릭터하고는 다르게 왠지 모르게 사회에는 저런...,1
진짜 오랜만에 공포봤는데 너무 무섭네요 반전에 놀랬고 초반에 여자가 우유로? 사다리쪽에 부었을때 무슨 검은물체보고 진짜 기겁했어요,1
윤경호라는 배우의 대발견.. 큰 배우들사에서도 전혀 꿀리는거없이 존재감 제대로 사네,1
꿀잼 허니잼 !!조진웅씨랑 결혼하고싶은생각이 드는영화 ㅠ 강추,1
에리리 서글프게 우는게 슬프지만...요망한 카토..,1
사람들은 세가지삶을 가지고있다,1
영화 끝나는 순간 내 주위에 누군가 있음을 자각하게 된다.,1
"소설을 안봐서 그런지 가끔 ""왜 울지?""하는 장면은 있었지만 그래도 전반적으로 재밌었음. 노래도 좋았고 무엇보다 여주 매력이 개쩜",1
이 영화보면 혼자 살고 싶어짐 ^^,0
"201.8년도에 나온 미래영화라고는 생각할수없는 촌스러움. 익숙하고 오래된, 그리고 안이한 시나리오에 화가난다",0
왜 아직도 평론가들이 평론을 안하는지 알겠다,0
스포일러가 포함된 감상평입니다. 감상평 보기,1
망작이라고 들어봤나.,0
"명배우들 대사 핑퐁이 그렇게 신나고 재밌는 줄 몰랐다.역시 프로들은 다른가보다, 마치 올림픽 탁구 경기를 보는 느낌이였다.",1
에리리ㅠㅠ진짜 울뻔했다,1
그냥 딱 뜨레기다 이거 재밌다하면 리얼 재밌게 본 사람인듯 딱 리얼급,0
올해  최고의 블랙코미디. 유해진의 연기는 믿고 봅니다.,1
공포영화라기보단 스릴러 영화로 재밌고 무서웠다,1
왜난재미없지? 내가이상한가,0
남자들의 우정이란게 이런건지 수준낮은 영화,0
오랜만에 만나는 웰메이드 영화.,1
"시사회보고왔습니다.발음문제인지 오디오문제인지 뭔말하는지 안들리는 점액션은 아저씨보다 구리고, 마녀보다도 구립니다진심 액션이 좋다는 분들 영화 첨보시나봐요이게 근미래의 액션입니까총가지고 근접해서 총뺏기고 쳐맞는게과연 ...",0
인랑 실사화 정말 잘 만들었음 ~! 액션 진짜 멋있네 잼있게 봤음!!!,1
하 돈아깝다 10자 적을것도 없네,0
"미장센과 아름다룬 색감, 그리고 스타일리쉬한 액션신까지. 김지운 감독에게 원한 모든 것을 대부분 만족시켜준 영화. 8점이 적당해보이는 데 별점 테러 감안해 1점 올려봄.",1
고오급 드립의 향연 속에서의 배우들의 편안한 연기에 매료되어 빵 터지기도 했다가 간 쫄리기도 했다가 관중을 들었다 놨다 아주 미친 영화,1
"무섭고 재미잇어여~ 무서워도 볼 수 잇엇던 이유는 나를 스토킹해줄정도로 날 좋아해주는 남자가 이세상에 없어서, 공감이 안되어서, 덜 무서움. 아 다행이다. 쩝.",1
씹덕 우욱,0
본 영화 중 가장 불쾌한 영화. 이런 영화가 평점이 높다는게 신기하고 충격적이다,0
아~ 영화관 182석에 나혼자 밖에 없었다쿠키영상보는데 직원이 문열어서 기분 더러웠다.,1
별 10개줘도 아깝지 않음 이서진 오랜만에 영화 굳이엇음,1
스포일러가 포함된 감상평입니다. 감상평 보기,1
동성애를 실컷 웃음코드로 쓰고 마지막엔 억지훈계식 결말. 그게 두번 죽이는거다. 당연하단듯 불륜을 숨겨주는 남자들의 의리 또한 웃음코드여서 불쾌했다.,0
불륜 동성애를 웃음으로 만드는 막장 영화 남자들 의리인척 불륜 감싸는것도 웃김,0
1기만보고 2기는 안본채로 보러갔었는데도 엄청 몰입됐습니다. 다만 2기에 나왔던 내용을 몰랐으니 좀 아쉬웠어요 ㅠㅠ 2기정주행하고 다시 보러 갈생각이에요 애니라고 무시하지 마시고 꼭 한번 봐보시길 권장드립니다 여운이...,1
역시 믿고 보는 겟 아웃 제작진이네...진짜 시간 어떻게 가는 줄 모르고 봤다ㅋㅋㅋㅋ존잼bb 여주 연기 미쳣음,1
아 내 돈 ㅜㅠ올해 들어 최악의 선택이었다 차라리 그 돈으로 삼계탕 사먹으면 아깝지나 않지 ㅜㅠ,0
2시간 동안 가정이 파탄나는 꼴만 봤음 참 찝찝하고 불편하고 기분 안좋았던 영화,0
"201.8년도에 나온 미래영화라고는 생각할수없는 촌스러움. 익숙하고 오래된, 그리고 안이한 시나리오에 화가난다",0
왜이렇게 욕먹는지 모르겠네 난 액션씬 짜릿해서 좋았고 원작이랑 연결되는 빨간망토 인상깊었음,1
제작비 수십억씩 때려박은 영화들 뺨때리네. 혼자 기대없이 보러갔다가 시간 아깝지않게 봤습니다.,1
정우성하고 난민하고 빨리 사라졌으면.. 합니다.,0
"촬영 장소? 스케일? 다른 거 다 필요 없다. 최고의 배우들이 자그마한 식탁 위에서 최상의 요리를 만들어냈다. 어떠한 양념, 조미료도 필요하지 않았다.",1
"촬영 장소? 스케일? 다른 거 다 필요 없다. 최고의 배우들이 자그마한 식탁 위에서 최상의 요리를 만들어냈다. 어떠한 양념, 조미료도 필요하지 않았다.",1
스토리가 깔끔하고 재미있다,1
메구미는 화내는 것도 귀엽다.,1
제일 중요한 15분짜리 쿠키영상이 있습니다,1
"독특하고화려한액션씬,김지운감독특유분위기연출에 각배우가 잘어울리는옷을입은느낌을줘서전체적으로좋은시너지가 나온것같다. 원작자체 개연성이 그닥이라 이정도 각색이면 무난하지않나싶음. 배우들뿐아니라 영화자체 비주얼도최고였고, ...",1
김지운 감독은 이 영화로  20년 동안 쌓아온 공든 탑이 와르르,0
고오급 드립의 향연 속에서의 배우들의 편안한 연기에 매료되어 빵 터지기도 했다가 간 쫄리기도 했다가 관중을 들었다 놨다 아주 미친 영화,1
어제 시사회에 다녀와서 하루 일찍보았네요. 권력이 암투를 이야기하면서 이야기를 풀어갔지만 남북통일을 앞둔 상황이라는 스토리에 개연성이 느껴지진않았습니다. 타워액션씬등은 눈에 좋았습니다.,1
진짜ㄹㅇ로재미가없음,0
리얼을 피했는데 이걸 못피했네,0
내 웃음 포인트가 남들과 다른가? 코미디 영화를 보고 싶었는데 오히려 이 영화 보고 나니 기분이 다운됨. 중간 중간 웃기는부분은 있지만 전체적으로 심각한 상황이라 웃음이 안 나옴.,0
이 영화보면 혼자 살고 싶어짐 ^^,0
다른 의미로 공포 영화.,1
리얼을 피했는데 이걸 못피했네,0
35라고 생각했지 57은 정말 생각도 못 했다.,1
불면증 있는 분들 추천해드리고요 난 중국영화인줄 알았어요,0
서로를 잘 모르기에 함께 살 수 있는 우리들,1
왜 여주가 그렇게 생긴 사람으로 캐스팅 했는지 보면서 알게 되는 영화,1
"어제 시사회로 봤는데 영화 끝나고 관람객 다 같이 한숨 쉬고. 뜬금없이 강동원,한효주 연애물 찍을때부터 망한느낌이 들었구요. 시사회로 봤는데도 돈이 아까웠어요.. 영화가 재미없는걸 떠나서 무슨내용인지를 하나도 모르겠...",0
노잼  입니다 ㅡ.ㅡ    핵노잼,0
스포일러가 포함된 감상평입니다. 감상평 보기,1
저게 현실이라면 결혼하면 안되겠다,0
재밌으면 추천 재미없음 비추천 이것좀 그만 하면 안되나? 그런 사람들 프로필 드가봐요 다 그런 댓글만 있음 영화를 더럽히는 댓글들임,1
노잼  입니다 ㅡ.ㅡ    핵노잼,0
누구든 남들에겐 보이기 싫은 비밀이 있고 그게 드러날까 조마조마하는 마음. 영화 보는 내내 나도 불편한 마음을 느꼈다. 극화시킨 느낌은 있지만 볼만했고 인간관계나 사람의 본심에 대해 생각하게 하는 영화.,1
액션신이 정말 잘빠졌고 개인적으로 아쉬운 점은 멜로부분이 빠졌으면 더 스토리상 이해도 잘가고 집중도 높았을듯 재밌었음,1
우한코로나 때문에 관객이 인비저블...,1
정공씹덕새기들 신났쥬?,0
김지운씨 요새 집에 우환있으세요?? 장화홍련  놈놈놈 영화 좀 괜찮게 만드시다 왜 이러세요?? 뭐  비트코인하셨어요??,0
시사회 티켓 준 누나한테 잠시나마 원망했다. 미안해요,0
한국인이면 미션임파서블 보자,0
액션신이 정말 잘빠졌고 개인적으로 아쉬운 점은 멜로부분이 빠졌으면 더 스토리상 이해도 잘가고 집중도 높았을듯 재밌었음,1
잠들라고하면 총소리남.,0
"명배우들 대사 핑퐁이 그렇게 신나고 재밌는 줄 몰랐다.역시 프로들은 다른가보다, 마치 올림픽 탁구 경기를 보는 느낌이였다.",1
"세실리아가 부릅니다, ‘Show Yourself’~!",1
여자친구랑 보지마세요,0
골든슬럼버에 이어서  강동원-한효주 조합은 망작 진리인게 판명됐다,0
"시사회보고왔습니다.발음문제인지 오디오문제인지 뭔말하는지 안들리는 점액션은 아저씨보다 구리고, 마녀보다도 구립니다진심 액션이 좋다는 분들 영화 첨보시나봐요이게 근미래의 액션입니까총가지고 근접해서 총뺏기고 쳐맞는게과연 ...",0
불륜 동성애를 웃음으로 만드는 막장 영화 남자들 의리인척 불륜 감싸는것도 웃김,0
스포일러가 포함된 감상평입니다. 감상평 보기,1
아 미션 시간만 맞았어도 피할 수 있었는데 ㅠ,0
잼있다,1
